Gene	gene_short_name
A130071D04Rik	A130071D04Rik
A230004M16Rik	A230004M16Rik
A230005M16Rik	A230005M16Rik
A230006K03Rik	A230006K03Rik
A230050P20Rik	A230050P20Rik
A230052G05Rik	A230052G05Rik
A230056P14Rik	A230056P14Rik
A230059L01Rik	A230059L01Rik
A230065H16Rik	A230065H16Rik
A230072C01Rik	A230072C01Rik
A230072E10Rik	A230072E10Rik
A230077H06Rik	A230077H06Rik
A230083G16Rik	A230083G16Rik
A230083N12Rik	A230083N12Rik
A230087F16Rik	A230087F16Rik
A230103J11Rik	A230103J11Rik
A230103L15Rik	A230103L15Rik
A230107N01Rik	A230107N01Rik
A2m	A2m
A2ml1	A2ml1
A330008L17Rik	A330008L17Rik
A330009N23Rik	A330009N23Rik
